serial_id,name,color,amount_color,amount_color_bland,biggest_item,amount_biggest_item,x_code,report_date
0,Smith-Fields Services,silver,795.05,176.06,Fruit,58.54,8d1a0022,1992/07
1,Carr PLC E-markets,teal,814.96,468.80,Toy,54.54,587f1813,1970/07
2,"Washington, Scott and Allen Synergies",lime,415.32,214.11,Fruit,43.28,fcd55221,1977/05
3,"Green, Evans and Lynch Experiences",silver,216.21,103.36,Bead,35.50,e78467bd,2008/04
4,Perry-Ayala Users,purple,637.61,410.97,Toy,45.97,a329385c,1945/10
5,Berg Ltd Models,teal,566.24,410.84,Toy,56.75,301ec326,2001/08
6,Johnson Inc Solutions,silver,386.38,303.37,Jewelry,31.15,4573223e,1977/02
7,Smith Group Applications,maroon,553.77,341.78,Jewelry,54.90,b6472ae9,1944/03
8,Anderson and Sons Vortals,white,663.77,408.30,Fruit,16.59,bcc7aa09,1942/02
9,"Kane, Howard and Davis Interfaces",lime,766.93,378.80,Jewelry,14.27,1e95fb23,1975/06
10,"Pitts, Walker and Bartlett Mindshare",lime,332.60,187.26,Jewelry,27.05,e512b2b0,1992/05
11,Brooks LLC Web-readiness,navy,512.69,442.75,Bead,48.34,484186fe,2007/03
12,Reynolds and Sons Synergies,maroon,822.02,408.87,Jewelry,61.44,4a331422,1981/06
13,"Morrow, Bradshaw and Sanchez Content",yellow,360.26,141.18,Toy,48.72,6079d6f8,1947/02
14,"Brown, Barnes and Ward Technologies",yellow,34.64,26.03,Toy,63.86,d8bfe558,1945/06
15,Pace-Morgan Communities,teal,204.56,30.99,Basket,16.84,f556e2e4,1960/07
16,Palmer PLC Channels,maroon,185.30,127.20,Basket,16.55,abc51f9c,2007/10
17,"Preston, Mendoza and Brown Synergies",teal,354.19,134.87,Bead,1.64,08c87b55,1983/05
18,"Smith, Hughes and Lewis E-tailers",white,283.02,73.85,Basket,54.32,fcfec9e0,1947/02
19,Roberson and Sons Metrics,lime,495.36,333.77,Basket,16.45,68843498,2000/07
20,"Burns, Morton and Jackson Functionalities",maroon,561.23,399.33,Umbrella,5.08,3fd70858,1944/10
21,Vazquez LLC Convergence,fuchsia,793.31,563.06,Fruit,18.73,12892fa2,1952/10
22,Ortega-Rogers Channels,yellow,341.98,148.28,Toy,13.02,3ba0d808,1969/02
23,"Wood, Ellis and Diaz Technologies",green,"1,055.06",572.65,Umbrella,28.04,fc7678bc,1966/05
24,"Chavez, Collins and Gray Niches",silver,567.70,163.01,Jewelry,34.96,bab0a53d,2003/07
25,Ortiz and Sons Relationships,gray,193.23,73.07,Jewelry,51.19,47770033,2005/12
26,"Garcia, Goodman and Ball Synergies",navy,420.03,214.76,Fruit,63.33,d0951331,1946/09
27,"Jones, Jackson and Lewis Relationships",fuchsia,759.19,309.81,Fruit,22.18,47a9af30,1995/06
28,"Perkins, Rivera and White Functionalities",blue,897.20,467.79,Jewelry,46.55,5868ed06,1966/01
29,Collins PLC Info-mediaries,olive,541.71,356.29,Fruit,37.78,0e9c06db,1988/06
30,Martin PLC Experiences,maroon,497.28,293.29,Jewelry,16.89,7e40ad44,2003/02
31,"Burnett, Price and Moreno Interfaces",blue,872.23,686.42,Fruit,34.63,6665edd1,1979/11
32,Rodriguez Group Infrastructures,navy,958.39,510.19,Toy,12.28,577d1169,1954/11
33,Carter-Brown E-markets,green,468.24,176.46,Jewelry,63.83,305d2575,2007/08
34,George-Nunez Initiatives,green,644.74,388.31,Jewelry,37.86,b761e452,1975/04
35,"Lee, Rodriguez and Anderson Bandwidth",silver,943.57,462.06,Jewelry,35.26,f0f44531,1984/04
36,Schmidt Inc Bandwidth,olive,754.53,675.14,Toy,57.18,d27a5195,1966/09
37,"Miller, Morales and Edwards Methodologies",lime,56.47,12.12,Jewelry,13.45,694acdbc,1999/11
38,Haley-Morris Info-mediaries,purple,830.33,335.56,Paint,35.43,6eb38025,2002/02
39,"Wood, Nelson and Stevens Action-items",navy,501.40,327.13,Toy,54.37,d76bb88a,2006/10
40,Phelps Group Action-items,gray,369.40,272.92,Toy,39.81,800a5e07,1959/04
41,Cooper and Sons Solutions,green,925.28,567.11,Toy,9.47,9ac6dd38,1958/05
42,Mckenzie-Noble Models,green,253.30,180.45,Toy,57.12,8112e8da,1961/11
43,Wheeler-Wood Relationships,black,283.19,196.77,Basket,37.96,deafca85,1977/05
44,Ray-Long Mindshare,blue,621.18,273.71,Jewelry,4.67,f8315e93,1953/03
45,"Johnson, Smith and Ayala Markets",aqua,691.42,464.18,Paint,48.66,9f453a34,2005/11
46,Navarro-Dawson Networks,fuchsia,827.08,389.44,Fruit,54.49,3cc77e0a,1955/02
47,Davenport-Brown Action-items,silver,200.47,108.10,Jewelry,34.21,c2431b83,1997/03
48,Hill Ltd Technologies,white,192.19,128.27,Toy,43.42,8dfc2b58,1963/01
49,Smith-Johnson Supply-chains,fuchsia,67.12,10.02,Jewelry,60.45,4b70dcc9,1953/06
50,"Patel, Graham and Haynes Content",black,"1,143.11",372.52,Bead,33.84,1e903eca,2002/10
51,"Carlson, Hernandez and Lin Services",black,541.33,386.88,Bead,37.80,c22f5621,1984/02
52,"Vaughn, Byrd and Hart Models",olive,132.73,97.11,Fruit,31.03,a1d2abcc,1953/05
53,"Wright, Zimmerman and Cannon Web-readiness",gray,405.56,89.51,Basket,57.83,f1835b40,1978/06
54,Russell-Flores E-tailers,purple,633.82,167.90,Umbrella,33.22,cf64203b,1997/02
55,Nelson Inc Communities,maroon,330.51,181.89,Bead,48.95,ef05845e,2005/09
56,"Patel, Graham and Haynes Content",purple,490.23,157.17,Toy,45.56,0cbead3b,1997/04
57,Shaffer-Allen Partnerships,blue,489.43,262.62,Toy,31.20,3d13cd40,1960/09
58,"Smith, Compton and Gibson Communities",olive,196.78,63.41,Jewelry,22.80,8aba5834,1946/07
59,Hinton LLC Action-items,lime,117.55,92.25,Toy,48.24,8134fbd4,1957/07
60,Butler LLC Markets,lime,342.40,228.93,Fruit,51.02,9d109adf,1947/07
61,"Johnson, Stone and Massey Infrastructures",yellow,535.75,435.61,Fruit,37.63,d5bac873,1997/11
62,Franklin LLC Schemas,gray,205.85,73.11,Jewelry,38.81,f835ad91,1961/10
63,Johnson-Jones Portals,yellow,699.21,423.61,Jewelry,42.66,76eeafcc,1973/11
64,Jones Ltd E-business,lime,215.63,152.18,Toy,27.00,6b948944,1944/08
65,"Dickson, Miller and Joyce Services",silver,692.62,411.58,Toy,57.98,b1e52692,2001/08
66,Clements Ltd Supply-chains,purple,767.43,354.52,Jewelry,24.06,be5906a8,1974/09
67,Carpenter-Collins Initiatives,aqua,137.48,63.48,Jewelry,20.52,28b1d595,2002/03
68,"Martinez, Garrett and Reed Action-items",silver,364.14,292.61,Jewelry,18.36,0dece40d,1978/07
69,Fitzgerald-Edwards Roi,yellow,676.12,259.81,Umbrella,55.36,61abb1f9,1972/01
70,Garrett-Schneider Roi,olive,303.24,161.24,Toy,17.17,a73c0475,1962/08
71,"Ward, Sparks and Romero Vortals",yellow,667.37,171.42,Jewelry,17.17,5da08313,1975/05
72,Esparza-Stephens Bandwidth,navy,241.50,174.91,Bead,12.18,5d1f972d,2001/07
73,"Cox, Davis and Davis Services",olive,484.28,175.60,Jewelry,2.06,414ccb51,1976/12
74,"Ellison, Andrews and Jones Synergies",yellow,351.25,173.81,Jewelry,24.93,ed76f0c0,1939/01
75,"Molina, Green and Valdez Schemas",blue,622.86,409.90,Paint,32.90,5c6af7a3,1946/03
76,Fuller-Gomez Synergies,black,436.92,133.73,Coffee Mug,45.17,3abef8b5,1980/04
77,Koch-Smith Experiences,lime,630.52,217.02,Jewelry,52.75,8b6ab236,1948/11
78,Campbell Group Deliverables,teal,200.95,162.21,Jewelry,26.91,dcb2413b,1982/04
79,"Morton, Potter and Rogers Schemas",gray,874.20,380.39,Jewelry,24.58,dc415a8a,1943/03
80,Carter LLC Methodologies,maroon,868.30,649.53,Toy,31.50,603a0ac3,1985/04
81,Wilson-Harrington Content,green,177.27,97.53,Jewelry,10.77,3ba021da,1991/01
82,"Smith, Aguilar and Garner Partnerships",white,738.14,194.05,Bead,39.88,74d3ee59,2001/11
83,"Thomas, Tyler and Hudson Initiatives",purple,608.80,337.48,Jewelry,29.01,359b9e6e,1967/09
84,Mcdowell LLC Content,olive,251.58,88.98,Fruit,29.19,c9858f06,1992/11
85,"Powell, Miller and Henderson Methodologies",olive,737.89,176.40,Jewelry,60.83,d69d9ca3,1993/04
86,"Juarez, Smith and Reed Niches",lime,569.04,300.06,Jewelry,26.69,3706a27e,1940/01
87,Bell PLC Systems,gray,568.81,175.68,Toy,31.53,bcd2ab16,1966/11
88,Brown LLC E-markets,blue,295.41,200.87,Umbrella,37.16,0cf0c28b,1948/06
89,Matthews-Steele E-services,white,539.99,129.16,Toy,47.77,38c4383b,2001/10
90,James LLC Experiences,silver,105.89,70.77,Umbrella,33.81,1338b54a,1986/07
91,Bryant-Chan Architectures,yellow,837.23,278.81,Fruit,32.17,0d89e811,1977/11
92,"Alexander, Lyons and Gomez Networks",green,659.85,127.04,Jewelry,12.47,29b50840,1947/01
93,"Long, Austin and Perez Methodologies",blue,363.74,191.79,Fruit,13.49,310bb08d,1950/08
94,Fields PLC Services,navy,142.16,85.51,Jewelry,29.48,70e850fc,1939/06
95,"Brown, Williams and Rosario Channels",purple,379.87,240.21,Fruit,32.93,96829500000,1967/09
96,Williams-Ross E-commerce,silver,385.05,167.33,Toy,54.30,aef70a0d,1991/12
97,Cooper-Reynolds Convergence,green,130.70,58.28,Basket,43.57,d9c1310a,1958/01
98,Lowe-Benson Metrics,yellow,696.04,284.66,Toy,4.92,d23065bb,1985/06
99,Owens Inc Services,yellow,126.51,119.12,Fruit,54.35,50a94dbb,1939/01
100,"Morrison, David and Abbott Metrics",maroon,44.82,36.47,Jewelry,14.32,c25ddbfd,1992/02
101,"Carlson, Hernandez and Lin Services",yellow,227.26,108.83,Toy,2.32,49b6d454,1986/10
102,Vargas Ltd Niches,blue,289.60,125.30,Fruit,9.12,ef65ca56,1963/05
103,"Gomez, Boyer and Thomas Methodologies",blue,168.26,102.86,Toy,13.12,e01e939b,1994/02
104,Dennis Group Roi,gray,109.76,44.06,Umbrella,28.94,e72e44ff,1986/05
105,Diaz Ltd Vortals,fuchsia,"1,203.80",518.46,Toy,32.02,3e7dfff2,2006/10
106,"Moore, Johnson and Allen Supply-chains",aqua,301.06,214.34,Jewelry,57.71,b429891f,1999/01
107,Hicks Inc Experiences,purple,163.15,83.46,Fruit,47.71,194698b3,1939/08
108,Murphy-Jones Users,yellow,384.77,247.56,Jewelry,62.59,30f87693,1986/05
109,Moon LLC E-tailers,fuchsia,293.06,143.96,Jewelry,38.37,8f953e08,2004/03
110,Rivas and Sons Systems,teal,139.14,34.42,Basket,9.35,36342a00,1942/02
111,Miller-Howard Partnerships,blue,398.42,341.85,Umbrella,61.09,5b48a328,1978/08
112,"Burns, Morton and Jackson Functionalities",lime,386.70,219.17,Bead,41.17,c40f7a8f,1954/12
113,Hamilton-Hill Platforms,aqua,360.07,265.55,Umbrella,56.28,4cc1c33f,1978/10
114,Salazar-Robinson Vortals,gray,713.13,144.76,Jewelry,16.79,a5997f62,1999/04
115,Mcconnell-Anderson Portals,olive,529.49,127.35,Basket,27.44,0d195cef,1996/02
116,Scott Inc Mindshare,white,262.13,136.37,Toy,31.36,1bd8b4b7,1979/07
117,"Cruz, Smith and Jordan E-commerce",green,343.52,178.45,Jewelry,29.88,4ac8debd,1972/09
118,Powell-Nichols Bandwidth,yellow,"1,035.01",677.20,Toy,49.76,3e0e4100,1986/01
119,Alvarez-White Models,yellow,141.23,80.40,Toy,25.71,b635bf1a,1996/03
120,"Frye, Butler and Erickson Content",blue,457.71,318.63,Fruit,13.45,0daad3f1,1955/01
121,Roberts-Powell Bandwidth,navy,246.88,39.27,Toy,43.40,7650cade,1958/01
122,Howell-Hernandez Schemas,blue,343.87,234.03,Bead,48.56,7c850b4f,1968/08
123,"Hale, Dixon and Johnson Applications",green,623.02,369.38,Fruit,23.52,aa2d34d9,1989/10
124,Garcia-Gutierrez Channels,maroon,793.05,533.80,Jewelry,24.69,1dbd6306,1945/01
125,Grant LLC Relationships,blue,669.88,505.85,Jewelry,54.68,b20864b2,1979/02
126,Howard Group Paradigms,lime,245.79,175.83,Coffee Mug,45.29,d2ac5c7e,1970/04
127,Cross-Perry Models,green,174.09,64.89,Umbrella,4.96,2c52b4f0,1992/03
128,Brown Ltd E-markets,navy,512.25,265.17,Toy,32.43,3a4e5071,1981/07
129,Tate-Griffith Schemas,navy,208.14,76.37,Umbrella,53.41,c144e1dd,1970/04
130,Wagner Inc Portals,silver,386.19,221.58,Toy,62.88,85473133,1989/04
131,Ortiz and Sons Portals,green,138.65,70.45,Fruit,30.17,dd6e8c23,1947/05
132,Williams-Rowe Interfaces,lime,785.82,266.30,Jewelry,43.98,c1daac21,1983/08
133,"Reed, Pena and James Content",yellow,326.53,118.69,Toy,8.77,1e219a9f,1951/04
134,"Brown, Williams and Rosario Channels",lime,289.94,184.34,Toy,8.39,ea5a7236,2003/09
135,Olson-Perez Portals,white,232.89,32.73,Toy,37.57,c5b9ce02,1992/02
136,"Wolfe, Houston and Zamora Infrastructures",silver,327.11,169.08,Jewelry,33.18,38e2f361,1987/01
137,Maynard LLC Partnerships,black,164.47,24.15,Fruit,42.73,d2b04b47,1961/07
138,Terry LLC Paradigms,navy,176.63,119.88,Bead,63.45,dff2c8b3,1973/04
139,Mueller Group Bandwidth,green,226.52,102.28,Toy,17.45,56176736,1942/08
140,Jordan-Sullivan Convergence,olive,508.87,390.58,Fruit,2.55,700e74a4,1990/11
141,"Juarez, Smith and Reed Niches",maroon,744.22,714.15,Toy,33.73,315fa2d4,1996/06
142,Lee and Sons Models,yellow,389.20,206.19,Toy,21.52,5b755266,2008/06
143,Hernandez LLC Architectures,olive,638.09,462.87,Jewelry,40.16,794efb52,1943/08
144,Hernandez-Thornton Portals,white,62.11,56.98,Jewelry,23.04,1d878562,1984/01
145,"Fernandez, Scott and Stanton Channels",olive,246.46,154.08,Toy,44.23,bfaad3a6,1990/06
146,White and Sons Portals,navy,497.33,194.71,Umbrella,57.31,90fc2406,1977/01
147,Alexander-Cook Communities,olive,210.93,86.43,Jewelry,44.09,8b7bbcc9,1986/06
148,Carter-Gilbert Experiences,teal,596.63,364.99,Fruit,7.61,a32c63d0,1949/04
149,"Keith, Lee and Fitzgerald Eyeballs",olive,321.42,201.50,Toy,60.12,2bd15b41,2006/07
150,Wilson PLC Interfaces,olive,290.23,103.19,Umbrella,52.56,404e6825,1965/06
151,"Bowman, Morrison and Chen Roi",fuchsia,559.14,179.95,Toy,7.38,7ef852dc,1971/04
152,Jennings and Sons Supply-chains,maroon,731.93,357.74,Jewelry,48.91,5a738804,2002/09
153,Aguilar-Lawrence Vortals,gray,134.37,120.39,Jewelry,57.04,f0fbadfb,1956/06
154,Armstrong-Castillo Networks,green,331.40,251.54,Toy,12.76,abf184d4,1947/11
155,"Marks, Pearson and Pierce Schemas",purple,124.30,94.59,Jewelry,11.53,742242c1,2001/03
156,Luna LLC Portals,teal,411.44,124.44,Toy,48.21,8fba0951,2008/06
157,Morgan-Escobar Paradigms,fuchsia,572.21,210.15,Toy,59.45,b7fb99b3,1968/04
158,Delgado PLC E-markets,maroon,"1,011.49",523.69,Toy,28.42,b1cebbb5,1975/06
159,Graham LLC Metrics,navy,678.25,447.29,Toy,42.06,ab2f82ef,1991/03
160,Mcpherson LLC Niches,lime,507.67,300.15,Basket,62.88,e6ea88d0,1963/07
161,Hines-Martinez Supply-chains,lime,404.69,323.55,Fruit,35.13,a7ee7b1a,2000/03
162,Hardy-Brooks Eyeballs,white,596.87,242.33,Toy,21.95,4e632147,1951/08
163,"Frank, Horne and Nelson E-markets",teal,461.89,251.96,Jewelry,16.88,83af2f23,1948/03
164,Bauer-Pacheco Supply-chains,blue,755.60,509.02,Fruit,54.62,7544f88f,1976/10
165,Reed LLC Initiatives,purple,357.42,146.19,Toy,18.93,4351dd65,1953/10
166,Fisher Inc Communities,green,371.32,157.92,Basket,31.81,7b1436c1,1964/05
167,Grant-Cooley Solutions,teal,221.67,63.24,Fruit,7.46,0d1b4c27,1938/11
168,White-Douglas Convergence,green,120.98,30.95,Toy,30.10,1d75ac1b,1953/01
169,"Marshall, Herrera and Mills Channels",black,243.25,110.58,Bead,4.47,4c6058ce,1958/09
170,"Nguyen, Edwards and Kirby Roi",gray,602.74,273.31,Toy,56.87,898c6084,1964/05
171,Trujillo Inc E-business,maroon,759.44,409.86,Fruit,4.05,f8db2be2,2005/09
172,West-Mercado E-business,blue,269.61,210.35,Fruit,18.41,202f991c,2005/08
173,Smith Group E-commerce,navy,166.30,21.59,Umbrella,20.55,94600859,1988/07
174,Ortiz and Sons Relationships,green,676.98,291.93,Toy,15.42,b26f13c9,1967/05
175,Potter and Sons Schemas,silver,187.98,74.45,Toy,61.94,cdad575a,1968/07
176,"Edwards, Alvarez and Spencer Partnerships",aqua,227.31,147.33,Fruit,32.78,9db3d87d,1950/11
177,Reed-Rivas Partnerships,navy,657.60,295.74,Jewelry,49.52,dbc4e882,1943/04
178,"Page, Donovan and Armstrong Platforms",green,760.30,527.46,Fruit,55.46,3ede01ac,1960/03
179,Miller-Payne Info-mediaries,purple,274.13,109.96,Toy,33.79,896d6577,1966/11
180,Shepherd-Garcia E-commerce,lime,480.64,361.03,Fruit,26.33,cd35df74,1983/11
181,"Avila, Glover and Dean Architectures",gray,897.95,770.01,Fruit,16.38,49174b4a,1955/02
182,Jones-Knox Communities,navy,295.26,133.79,Jewelry,33.38,e9494c09,1992/05
183,Bass-Smith Relationships,yellow,464.49,215.65,Fruit,22.70,730e4b5a,1991/01
184,"Ford, Bryant and Ramirez E-tailers",black,221.53,121.31,Jewelry,17.31,1b480f23,1939/01
185,"Butler, Duncan and Schroeder Channels",navy,675.16,282.36,Jewelry,53.54,540c22c9,1978/09
186,"Short, Wood and Smith Bandwidth",olive,440.65,93.96,Fruit,52.75,9fd3b7c6,1966/11
187,"Miller, Larson and Sutton Platforms",black,457.25,332.52,Toy,44.13,134c0513,1959/04
188,Adkins-Brown Methodologies,black,488.07,245.50,Fruit,4.46,443b9d39,1970/07
189,Martin Ltd Niches,teal,394.06,70.86,Jewelry,60.16,e2835d7c,1965/10
190,Howell-Hernandez Schemas,silver,520.31,58.75,Bead,11.64,353649cb,1977/03
191,"Martin, Flores and Cruz Applications",silver,789.97,360.04,Bead,55.83,d264ab4d,2004/02
192,Donovan Inc Channels,aqua,"1,210.99",686.00,Fruit,30.90,a003c5cb,1971/03
193,Fry and Sons Relationships,teal,654.45,420.13,Jewelry,7.10,55bd5863,1986/05
194,Alvarez Ltd Synergies,green,444.22,215.37,Fruit,2.41,803d5d94,1954/04
195,James and Sons Methodologies,white,161.22,38.61,Jewelry,56.01,b53c7dcb,1989/11
196,"Clark, Walker and Perez Functionalities",gray,303.05,133.74,Toy,3.11,0dd19266,1963/06
197,"Collins, Dennis and Ramirez Partnerships",silver,824.41,365.14,Jewelry,2.96,f973bb83,1965/02
198,Jensen-Petersen Bandwidth,teal,367.93,170.39,Toy,42.77,2a346cf2,1980/05
199,"Pitts, Walker and Bartlett Mindshare",black,483.42,331.68,Jewelry,48.01,b59d19ab,1976/10
200,Wright Inc Portals,white,326.54,212.73,Toy,47.01,d37c4745,1984/05
201,Singleton-Banks Metrics,blue,217.71,108.68,Fruit,21.01,3affceaa,1961/02
202,Mcclain-Davis Models,gray,167.34,122.66,Bead,11.47,0d5dfdee,1960/05
203,Floyd-Moran Bandwidth,green,484.77,133.39,Jewelry,12.25,69526853,1998/08
204,Boyd PLC Metrics,maroon,156.35,113.60,Paint,25.52,57d6a876,1981/01
205,"Wagner, Dawson and Ellis E-commerce",navy,911.11,471.58,Toy,50.13,6a7ccaa9,1997/05
206,Ramos-Harris E-business,olive,525.90,264.84,Jewelry,35.34,4f20cbe8,1961/03
207,Douglas-Martin Content,blue,278.33,135.91,Bead,42.05,bfe912a5,1965/04
208,"Blair, Johnson and Brown Convergence",blue,396.24,152.22,Basket,15.41,ac47b454,1992/06
209,"Holden, Silva and Mckinney Models",purple,297.37,176.86,Jewelry,29.81,c5527680,2005/03
210,Banks-Ferguson Eyeballs,green,710.17,470.63,Jewelry,26.44,f8cd1f4a,1989/03
211,"Griffin, Morrison and Bond Content",purple,580.04,160.21,Toy,20.39,ca57260c,1995/02
212,Williams-Prince Models,silver,496.80,402.54,Toy,18.92,c17af74a,1972/06
213,Carter-Gilbert Experiences,navy,599.86,551.29,Jewelry,17.51,cbbfea93,2006/03
214,Fernandez LLC Channels,navy,58.18,45.71,Toy,60.66,8130036e,1941/11
215,Johnson-Barnett Metrics,purple,163.33,119.21,Umbrella,40.13,aa5c13cc,1987/11
216,Rogers-Harris Functionalities,blue,438.92,296.39,Coffee Mug,48.01,4.571E+291,1991/05
217,"Smith, Aguilar and Garner Partnerships",gray,371.48,40.92,Paint,41.12,fc3cf8c7,1945/03
218,Rodgers and Sons Functionalities,purple,210.73,179.80,Jewelry,57.56,b9cff8da,1952/04
219,Lee PLC Web-readiness,yellow,206.54,155.06,Fruit,47.09,6afab060,1947/11
220,"Duncan, Burke and Smith Infrastructures",yellow,309.31,137.76,Fruit,41.49,1543e417,1950/07
221,Guzman Inc E-business,purple,248.60,12.48,Bead,30.52,595f0181,1988/09
222,Singleton-Banks Metrics,blue,236.57,208.53,Fruit,29.74,1351ac70,1954/09
223,Armstrong Ltd Niches,olive,402.91,7.39,Fruit,22.12,7888b29c,2003/07
224,"Chambers, Brooks and Jones Applications",aqua,932.22,754.96,Fruit,58.57,453fd34a,1960/09
225,Singleton-Schroeder Info-mediaries,gray,281.33,247.44,Jewelry,52.63,12beed67,1959/12
226,Gibbs-Campbell Content,blue,551.49,472.05,Fruit,6.30,1aacc811,1971/11
227,"Lawson, Thomas and Curtis Partnerships",silver,687.90,238.02,Fruit,51.16,9f8d7037,2003/05
228,"Lee, Nguyen and Myers Deliverables",gray,583.88,296.82,Umbrella,60.37,415ef746,1946/05
229,Taylor and Sons Architectures,silver,397.04,231.34,Toy,21.92,5e2433b5,1963/03
230,English Ltd Mindshare,white,"1,186.09","1,057.77",Fruit,8.61,1df0fd76,1995/11
231,Lane LLC Action-items,green,297.98,102.53,Fruit,29.25,e3598cbd,1948/10
232,Mcclure-Jones Vortals,purple,214.41,136.25,Jewelry,46.89,c8a5a6a0,1942/07
233,Harris-Jones Models,purple,731.11,349.96,Bead,25.93,4692a983,1953/07
234,"Evans, Carrillo and Brown E-tailers",teal,129.49,30.57,Toy,55.94,082d24e2,1961/03
235,"Brown, Anderson and Rodriguez Deliverables",olive,146.42,55.11,Toy,47.93,7ee77bce,1940/11
236,Brown Inc E-business,purple,240.39,74.12,Toy,7.75,6014842b,1958/10
237,Fischer-Nixon Technologies,blue,222.73,43.38,Basket,62.76,1ad0f304,1954/05
238,Dorsey-Cunningham Channels,purple,461.18,37.45,Toy,51.57,785a1044,1951/01
239,Smith Ltd Markets,teal,553.17,162.86,Jewelry,4.87,67ec49fd,1986/08
240,Perkins PLC Synergies,navy,881.48,779.16,Basket,45.97,a00b5d53,1998/08
241,"Acosta, Gonzalez and Petersen Functionalities",lime,384.65,222.09,Toy,14.68,ff4efafe,2006/07
242,King-Lucas Initiatives,silver,104.42,64.92,Jewelry,63.53,b14b959d,1940/11
243,Scott-Soto E-services,navy,926.48,349.96,Toy,13.45,fd83cb29,1970/11
244,Perkins-Sullivan Applications,gray,171.32,156.86,Basket,39.02,bf6989c7,1971/03
245,"Silva, Guzman and Jenkins Bandwidth",gray,538.64,220.73,Fruit,33.76,63ff6717,2006/02
246,Martinez Ltd Methodologies,silver,427.97,317.15,Jewelry,40.89,f4620323,1963/09
247,Watkins and Sons Networks,yellow,518.41,239.56,Bead,42.54,fb59b672,2002/06
248,"King, Holmes and Munoz Networks",silver,341.00,151.24,Bead,57.38,18f426b4,1999/08
249,Miller-Stephens Portals,white,"1,035.00",453.57,Bead,26.95,982a377a,1973/05
250,Jackson-Malone E-commerce,silver,624.44,379.28,Toy,42.01,83a140e2,1997/11
251,"Ibarra, Burch and Carroll E-services",olive,302.03,271.57,Fruit,40.56,f83409c3,1974/07
